node_id,ipa_result,mc_10k,abs_error_10k,mc_100k,abs_error_100k,mc_1m,abs_error_1m
286,0.755069362,0.7517,0.003369362,0.755196,0.000126638,0.754921,
287,0.753747753,0.7521,0.001647753,0.75361,0.000137753,0.753237,
288,0.824318136,0.8213,0.003018136,0.824541,0.000222864,0.824106,
289,0.773413746,0.7755,0.002086254,0.773696,0.000282254,0.773613,
290,0.100557145,0.1018,0.001242855,0.100535,2.21E-05,0.100441,
291,0.083769818,0.0833,0.000469818,0.083941,0.000171182,0.083792,
292,0.114129761,0.1174,0.003270239,0.113684,0.000445761,0.113941,
293,0.910658247,0.9115,0.000841753,0.910713,5.48E-05,0.910713,
294,0.32709564,0.3282,0.00110436,0.327201,0.00010536,0.327246,
295,0.687852809,0.6828,0.005052809,0.687633,0.000219809,0.68855,
296,0.686014917,0.6811,0.004914917,0.686179,0.000164083,0.685799,
297,0.79860557,0.8022,0.00359443,0.798685,7.94E-05,0.798328,
298,0.657370021,0.6553,0.002070021,0.656888,0.000482021,0.657509,
299,0.738166004,0.7428,0.004633996,0.738471,0.000304996,0.738144,
300,0.671614064,0.6814,0.009785936,0.671477,0.000137064,0.671799,
301,0.710898262,0.7107,0.000198262,0.711168,0.000269738,0.710951,
302,0.669578449,0.6731,0.003521551,0.66897,0.000608449,0.669087,
303,0.78266302,0.784,0.00133698,0.782306,0.00035702,0.782794,
304,0.672426362,0.6721,0.000326362,0.672414,1.24E-05,0.671858,
305,0.779489655,0.7797,0.000210345,0.77903,0.000459655,0.779024,
306,0.725405316,0.7353,0.009894684,0.725232,0.000173316,0.725335,
307,0.197886492,0.1993,0.001413508,0.198277,0.000390508,0.197782,
308,0.190833684,0.1951,0.004266316,0.190951,0.000117316,0.190431,
309,0.79009612,0.8016,0.01150388,0.789448,0.00064812,0.78961,
310,0.788688133,0.794,0.005311867,0.788598,9.01E-05,0.788293,
311,0.88959585,0.8912,0.00160415,0.889541,5.48E-05,0.889493,
312,0.77401124,0.7743,0.00028876,0.773905,0.00010624,0.773719,
313,0.760738889,0.7649,0.004161111,0.760561,0.000177889,0.760558,
314,0.714552547,0.7145,5.25E-05,0.713983,0.000569547,0.714623,
315,0.792442572,0.792,0.000442572,0.792507,6.44E-05,0.791619,
316,0.702475456,0.7021,0.000375456,0.703223,0.000747544,0.702508,
317,0.774946969,0.7787,0.003753031,0.775182,0.000235031,0.774559,
318,0.777266164,0.772,0.005266164,0.777215,5.12E-05,0.776345,
319,0.066497043,0.0687,0.002202957,0.066729,0.000231957,0.066239,
320,0.053697399,0.0549,0.001202601,0.053909,0.000211601,0.053655,
321,0.081296356,0.0832,0.001903644,0.081019,0.000277356,0.080934,
322,0.930676846,0.9319,0.001223154,0.930665,1.18E-05,0.930521,
323,0.429272081,0.4255,0.003772081,0.429011,0.000261081,0.429381,
324,0.71083507,0.7088,0.00203507,0.711271,0.00043593,0.710952,
325,0.839721729,0.8394,0.000321729,0.839412,0.000309729,0.839697,
326,0.732140422,0.7317,0.000440422,0.732128,1.24E-05,0.731762,
327,0.765393636,0.7662,0.000806364,0.765197,0.000196636,0.765527,
328,0.795487168,0.7942,0.001287168,0.794781,0.000706168,0.795092,
329,0.828560395,0.8204,0.008160395,0.82858,1.96E-05,0.82792,
330,0.715751134,0.7159,0.000148866,0.716144,0.000392866,0.715245,
331,0.803633691,0.8063,0.002666309,0.803525,0.000108691,0.803495,
332,0.74969809,0.7499,0.00020191,0.749836,0.00013791,0.74938,
333,0.767912306,0.7765,0.008587694,0.767156,0.000756306,0.767517,
334,0.663176849,0.6586,0.004576849,0.66274,0.000436849,0.663122,
335,0.639033099,0.6343,0.004733099,0.638228,0.000805099,0.638216,
336,0.121334772,0.1229,0.001565228,0.121178,0.000156772,0.121146,
337,0.127166487,0.13,0.002833513,0.127445,0.000278513,0.126828,
338,0.84856988,0.8533,0.00473012,0.848586,1.61E-05,0.848551,
339,0.769657217,0.7726,0.002942783,0.770081,0.000423783,0.770071,
340,0.877903349,0.8797,0.001796651,0.877582,0.000321349,0.877728,
341,0.869435204,0.8686,0.000835204,0.868965,0.000470204,0.869476,
342,0.844423083,0.8467,0.002276917,0.84415,0.000273083,0.844174,
343,0.786112524,0.7894,0.003287476,0.785824,0.000288524,0.786415,
344,0.856829204,0.8615,0.004670796,0.856696,0.000133204,0.856255,
345,0.826168531,0.8316,0.005431469,0.82622,5.15E-05,0.826308,
346,0.881955359,0.8822,0.000244641,0.881784,0.000171359,0.881957,
347,0.828880988,0.8326,0.003719012,0.82895,6.90E-05,0.828297,
348,0.046842609,0.0485,0.001657391,0.046944,0.000101391,0.046603,
349,0.045472423,0.0457,0.000227577,0.045571,9.86E-05,0.045378,
350,0.058412247,0.0601,0.001687753,0.058211,0.000201247,0.058225,
351,0.919805419,0.9199,9.46E-05,0.920051,0.000245581,0.919523,
352,0.598206989,0.5966,0.001606989,0.597987,0.000219989,0.59848,
353,0.774414549,0.7744,1.45E-05,0.774682,0.000267451,0.774463,
354,0.748086292,0.7382,0.009886292,0.748157,7.07E-05,0.747507,
355,0.784649903,0.7805,0.004149903,0.78369,0.000959903,0.784571,
356,0.80848377,0.8105,0.00201623,0.808153,0.00033077,0.80861,
357,0.809840099,0.8028,0.007040099,0.810184,0.000343901,0.809886,
358,0.818566023,0.8144,0.004166023,0.818647,8.10E-05,0.818516,
359,0.906734022,0.9039,0.002834022,0.906933,0.000198978,0.906712,
360,0.757402083,0.7535,0.003902083,0.757883,0.000480917,0.757532,
361,0.787031391,0.788,0.000968609,0.787005,2.64E-05,0.787213,
362,0.869418685,0.8666,0.002818685,0.869618,0.000199315,0.869312,
363,0.5909433,0.5954,0.0044567,0.591453,0.0005097,0.591066,
364,0.678368231,0.6797,0.001331769,0.67831,5.82E-05,0.678728,
365,0.110529874,0.1129,0.002370126,0.110388,0.000141874,0.110183,
366,0.105558005,0.1093,0.003741995,0.105701,0.000142995,0.105157,
367,0.845143682,0.8454,0.000256318,0.845523,0.000379318,0.845467,
368,0.845185568,0.8472,0.002014432,0.84462,0.000565568,0.845052,
369,0.794400194,0.7902,0.004200194,0.793373,0.001027194,0.794503,
370,0.911833242,0.9122,0.000366758,0.911657,0.000176242,0.911399,
371,0.873569801,0.865,0.008569801,0.873345,0.000224801,0.873862,
372,0.909707516,0.904,0.005707516,0.909485,0.000222516,0.910178,
373,0.896678787,0.8954,0.001278787,0.896535,0.000143787,0.896335,
