Node,AlgoValue,MCValue(1million),Diff,MCValue(100thousand),Diff,MCValue(10thousand),Diff
827,0.9,0.900396,0.000396,0.90125,0.00125,0.5634,0.003906617
955,0.9,0.900395,0.000395,0.86626,0.00125,0.8646,0.003905396
727,0.861413538,0.861807,0.000393462,0.69098,0.001240645,0.8961,0.0039
5,0.86751,0.867903,0.000393,0.86627,0.00124,0.9039,0.0039
843,0.821344366,0.821736,0.000391634,0.85495,0.001235453,0.8961,0.0039
967,0.9,0.90039,0.00039,0.89877,0.00123,0.8961,0.0039
233,0.729,0.729389,0.000389,0.89877,0.00123,0.9039,0.0039
696,0.861740257,0.861352,0.000388257,0.86874,0.00123,0.7329,0.0039
485,0.861621825,0.86201,0.000388175,0.85398,0.001223739,0.8596,0.003884576
191,0.9,0.899612,0.000388,0.69182,0.001220647,0.8498,0.00387029
658,0.861740257,0.862128,0.000387743,0.90122,0.00122,0.6908,0.003860319
316,0.855453758,0.85584,0.000386242,0.5666,0.001212218,0.8579,0.003840257
1004,0.85101991,0.851406,0.00038609,0.90121,0.00121,0.8557,0.00383235
645,0.692931692,0.692546,0.000385692,0.9012,0.0012,0.8637,0.00381
486,0.856819414,0.856434,0.000385414,0.86631,0.0012,0.5633,0.003806617
715,0.9,0.899615,0.000385,0.85691,0.001194576,0.9038,0.0038
49,0.9,0.900384,0.000384,0.86422,0.001188493,0.9038,0.0038
19,0.860389906,0.860006,0.000383906,0.86133,0.001179789,0.9038,0.0038
884,0.729,0.729383,0.000383,0.85249,0.001177125,0.8713,0.00379
291,0.9,0.900378,0.000378,0.85428,0.001173758,0.851,0.003784966
1039,0.86751,0.867133,0.000377,0.84922,0.001165895,0.8517,0.003771225
69,0.556680125,0.557057,0.000376875,0.85314,0.001154923,0.8553,0.003769932
988,0.852238588,0.851862,0.000376588,0.89885,0.00115,0.5447,0.003768252
60,0.676782417,0.677159,0.000376583,0.89388,0.001149351,0.6984,0.003767716
529,0.851545717,0.851922,0.000376283,0.83168,0.001144496,0.6945,0.003767429
326,0.9,0.899624,0.000376,0.85481,0.001142875,0.6909,0.003760319
862,0.793559511,0.793935,0.000375489,0.90114,0.00114,0.8605,0.003759954
23,0.690457271,0.690082,0.000375271,0.85659,0.001136242,0.6942,0.003742729
848,0.861621825,0.861247,0.000374825,0.86061,0.001130257,0.8318,0.003733848
219,0.8938269,0.8942,0.0003731,0.89887,0.00113,0.8524,0.003732819
305,0.86751,0.867883,0.000373,0.86138,0.001129789,0.8638,0.00371
933,0.86751,0.867137,0.000373,0.86287,0.001129743,0.8638,0.00371
240,0.9,0.900372,0.000372,0.86275,0.001128175,0.6958,0.00370541
693,0.861740257,0.862112,0.000371743,0.85554,0.001120244,0.7253,0.0037
94,0.853432554,0.853061,0.000371554,0.89888,0.00112,0.9037,0.0037
467,0.9,0.89963,0.00037,0.90112,0.00112,0.9037,0.0037
587,0.848775546,0.849145,0.000369454,0.89271,0.0011169,0.9037,0.0037
675,0.861621825,0.861991,0.000369175,0.86528,0.001111247,0.8975,0.0036731
606,0.729,0.729369,0.000369,0.89889,0.00111,0.8581,0.003640257
863,0.739622016,0.739991,0.000368984,0.8664,0.00111,0.691,0.003632284
310,0.9,0.899633,0.000367,0.8614,0.001109789,0.8562,0.003608207
725,0.86751,0.867143,0.000367,0.86361,0.001100211,0.8964,0.0036
680,0.865408493,0.865043,0.000365493,0.86641,0.0011,0.9036,0.0036
564,0.850385895,0.850751,0.000365105,0.86861,0.0011,0.857,0.003567446
