abs_error_1m,ipa_result,mc_1m,mc_100k,node_id,mc_10k,abs_error_10k,abs_error_100k
0.0005572369211258588,0.7524812369211259,0.751924,0.75163,85,0.7543,0.001818763078874075,0.0008512369211258752
0.0007913064430680183,0.516389306443068,0.515598,0.51637,86,0.5177,0.00131069355693203,1.9306443068023427e-5
0.00016282535017786426,0.9343328253501778,0.93417,0.93574,87,0.935,0.0006671746498222442,0.001407174649822207
0.00032232542070684267,0.15993167457929316,0.160254,0.16033,88,0.159,0.0009316745792931624,0.0003983254207068354
0.00032416586367908784,0.11862483413632091,0.118949,0.11886,89,0.1182,0.0004248341363209118,0.0002351658636790821
0.0009553077290377354,0.4566123077290377,0.455657,0.4573,90,0.4684,0.011787692270962269,0.0006876922709622701
0.0007179127763616844,0.3622169127763617,0.361499,0.36112,91,0.3683,0.006083087223638317,0.0010969127763617026
0.0007343697362739987,0.251792369736274,0.251058,0.25149,92,0.2525,0.0007076302637260001,0.00030236973627401076
0.0006310784323385055,0.2535560784323385,0.252925,0.25318,93,0.2618,0.00824392156766146,0.00037607843233850025
0.0006021670373613786,0.20048516703736138,0.199883,0.20021,94,0.2068,0.006314832962638628,0.0002751670373613846
0.00019394315724413635,0.13640994315724414,0.136216,0.1363,95,0.1421,0.005690056842755864,0.00010994315724413561
6.867139871886974e-5,0.10428567139871887,0.104217,0.10499,96,0.1067,0.0024143286012811294,0.0007043286012811262
5.9037455395677396e-5,0.13454703745539567,0.134488,0.13487,97,0.1389,0.004352962544604322,0.00032296254460431606
0.0001496464849788104,0.1456016464849788,0.145452,0.14595,98,0.1512,0.005598353515021193,0.00034835351502118805
0.00043062713092686944,0.17382462713092686,0.173394,0.17262,99,0.1732,0.0006246271309268692,0.0012046271309268664
0.0005308044829929193,0.14423580448299292,0.143705,0.14369,100,0.1435,0.00073580448299293,0.0005458044829929065
0.0002609128959722984,0.1041599128959723,0.103899,0.10384,101,0.1045,0.00034008710402769204,0.0003199128959723019
0.00017131432242706301,0.18988831432242706,0.189717,0.18868,102,0.192,0.0021116856775729442,0.0012083143224270732
0.00023393867005197522,0.18449093867005198,0.184257,0.18306,103,0.1874,0.0029090613299480317,0.0014309386700519788
0.00020029509533635304,0.11315729509533635,0.112957,0.11321,104,0.113,0.00015729509533635166,5.270490466365019e-5
2.7059561771680674e-5,0.4989499404382283,0.498977,0.49787,105,0.4997,0.0007500595617716543,0.001079940438228344
0.0004545244934734405,0.49893552449347345,0.498481,0.50024,106,0.495,0.003935524493473452,0.00130447550652657
0.0002416063799046686,0.5966973936200953,0.596939,0.59636,107,0.5955,0.0011973936200952995,0.0003373936200953276
6.681630970706287e-5,0.6628501836902929,0.662917,0.66425,108,0.6558,0.007050183690292866,0.0013998163097070915
7.429070627273937e-5,0.46900229070627275,0.468928,0.46949,109,0.4614,0.007602290706272774,0.00048770929372726757
0.00011519657681879902,0.8747251965768188,0.87461,0.87584,110,0.8709,0.00382519657681879,0.0011148034231811543
0.0001764509316290741,0.13499354906837094,0.13517,0.1334,111,0.1369,0.0019064509316290557,0.0015935490683709475
0.00014228764951899897,0.103557712350481,0.1037,0.1024,112,0.1065,0.002942287649518996,0.0011577123504809966
6.569466511724409e-5,0.45591069466511724,0.455845,0.45538,113,0.4564,0.0004893053348827281,0.0005306946651172373
1.2915308879979381e-5,0.39123208469112003,0.391245,0.39086,114,0.3933,0.002067915308879953,0.00037208469112004483
0.0001983981577610705,0.32090460184223896,0.321103,0.31985,115,0.3196,0.0013046018422389616,0.0010546018422389336
